P: 4
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000   79.962
0.020  0.000  159.925
0.030  0.000  239.890
0.040  0.000  319.860
0.050  0.000  399.835
0.060  0.000  479.812
0.070  0.000  559.791
0.080  0.000  639.767
0.090  0.000  719.736
0.100  0.000  799.690
0.110  0.000  879.620
0.120  0.000  959.513
0.130  0.000 1039.355
0.140  0.000 1119.127
0.150  0.000 1198.809
0.160  0.000 1278.377
0.170  0.000 1357.801
0.180  0.000 1437.051
0.190  0.000 1516.089
0.200  0.000 1594.875
0.210  0.000 1673.365
0.220  0.000 1751.507
0.230  0.000 1829.247
0.240  0.000 1906.525
0.250  0.000 1983.275
0.260  0.000 2059.428
0.270  0.000 2134.907
0.280  0.000 2209.629
0.290  0.000 2283.509
0.300  0.000 2356.453
0.310  0.000 2428.362
0.320  0.000 2499.132
0.330  0.000 2568.653
0.340  0.000 2636.811
0.350  0.000 2703.484
0.360  0.000 2768.549
0.370  0.000 2831.875
0.380  0.000 2893.327
0.390  0.000 2952.768
0.400  0.000 3010.057
0.410  0.000 3065.048
0.420  0.000 3117.596
0.430  0.000 3167.551
0.440  0.000 3214.766
0.450  0.000 3259.090
0.460  0.000 3300.376
0.470  0.000 3338.477
0.480  0.000 3373.251
0.490  0.000 3404.558
0.500  0.000 3432.266
0.510  0.000 3456.246
0.520  0.000 3476.381
0.530  0.000 3492.560
0.540  0.000 3504.687
0.550  0.000 3512.673
0.560  0.000 3516.449
0.570  0.000 3515.957
0.580  0.000 3511.157
0.590  0.000 3502.029
0.600  0.000 3488.572
0.610  0.000 3470.806
0.620  0.000 3448.774
0.630  0.000 3422.542
0.640  0.000 3392.202
0.650  0.000 3357.872
0.660  0.000 3319.693
0.670  0.000 3277.836
0.680  0.000 3232.497
0.690  0.000 3183.898
0.700  0.000 3132.286
0.710  0.000 3077.933
0.720  0.000 3021.134
0.730  0.000 2962.205
0.740  0.000 2901.478
0.750  0.000 2839.304
0.760  0.000 2776.043
0.770  0.000 2712.064
0.780  0.000 2647.740
0.790  0.000 2583.442
0.800  0.000 2519.537
0.810  0.000 2456.377
0.820  0.000 2394.301
0.830  0.000 2333.624
0.840  0.000 2274.635
0.850  0.000 2217.591
0.860  0.000 2162.714
0.870  0.000 2110.188
0.880  0.000 2060.158
0.890  0.000 2012.726
0.900  0.000 1967.955
0.910  0.000 1925.870
0.920  0.000 1886.461
0.930  0.000 1849.686
0.940  0.000 1815.476
0.950  0.000 1783.740
0.960  0.000 1754.370
0.970  0.000 1727.240
0.980  0.000 1702.213
0.990  0.000 1679.136
1.000  0.000 1657.847




P: 4
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  129.599
0.020  0.000  259.200
0.030  0.000  388.805
0.040  0.000  518.418
0.050  0.000  648.039
0.060  0.000  777.669
0.070  0.000  907.304
0.080  0.000 1036.944
0.090  0.000 1166.581
0.100  0.000 1296.210
0.110  0.000 1425.819
0.120  0.000 1555.397
0.130  0.000 1684.927
0.140  0.000 1814.391
0.150  0.000 1943.765
0.160  0.000 2073.022
0.170  0.000 2202.132
0.180  0.000 2331.059
0.190  0.000 2459.763
0.200  0.000 2588.199
0.210  0.000 2716.317
0.220  0.000 2844.062
0.230  0.000 2971.371
0.240  0.000 3098.178
0.250  0.000 3224.411
0.260  0.000 3349.989
0.270  0.000 3474.827
0.280  0.000 3598.834
0.290  0.000 3721.911
0.300  0.000 3843.953
0.310  0.000 3964.849
0.320  0.000 4084.480
0.330  0.000 4202.723
0.340  0.000 4319.446
0.350  0.000 4434.512
0.360  0.000 4547.779
0.370  0.000 4659.097
0.380 -0.000 4768.312
0.390 -0.000 4875.265
0.400 -0.000 4979.793
0.410 -0.000 5081.726
0.420 -0.000 5180.895
0.430 -0.000 5277.125
0.440 -0.000 5370.239
0.450 -0.000 5460.061
0.460 -0.000 5546.413
0.470 -0.000 5629.118
0.480 -0.000 5708.002
0.490 -0.000 5782.892
0.500 -0.000 5853.621
0.510 -0.000 5920.026
0.520 -0.000 5981.953
0.530 -0.000 6039.254
0.540 -0.000 6091.793
0.550 -0.000 6139.444
0.560 -0.000 6182.093
0.570 -0.000 6219.644
0.580 -0.000 6252.014
0.590 -0.000 6279.139
0.600 -0.000 6300.973
0.610 -0.000 6317.493
0.620 -0.000 6328.695
0.630 -0.000 6334.602
0.640 -0.000 6335.258
0.650 -0.000 6330.734
0.660 -0.000 6321.127
0.670 -0.000 6306.559
0.680 -0.000 6287.182
0.690 -0.000 6263.171
0.700 -0.000 6234.729
0.710 -0.000 6202.082
0.720 -0.000 6165.483
0.730 -0.000 6125.205
0.740 -0.000 6081.540
0.750 -0.000 6034.798
0.760 -0.000 5985.304
0.770 -0.000 5933.391
0.780 -0.000 5879.400
0.790 -0.000 5823.673
0.800 -0.000 5766.549
0.810 -0.000 5708.360
0.820 -0.000 5649.424
0.830 -0.000 5590.044
0.840 -0.000 5530.497
0.850 -0.000 5471.038
0.860 -0.000 5411.889
0.870 -0.000 5353.244
0.880 -0.000 5295.259
0.890 -0.000 5238.059
0.900 -0.000 5181.738
0.910 -0.000 5126.357
0.920 -0.000 5071.953
0.930 -0.000 5018.540
0.940 -0.000 4966.117
0.950 -0.000 4914.671
0.960 -0.000 4864.181
0.970 -0.000 4814.626
0.980 -0.000 4765.981
0.990 -0.000 4718.225
1.000 -0.000 4671.337




P: 4
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000   97.760
0.020  0.000  195.521
0.030  0.000  293.286
0.040  0.000  391.056
0.050  0.000  488.831
0.060  0.000  586.612
0.070  0.000  684.396
0.080  0.000  782.180
0.090  0.000  879.958
0.100  0.000  977.724
0.110  0.000 1075.467
0.120  0.000 1173.175
0.130  0.000 1270.833
0.140  0.000 1368.423
0.150  0.000 1465.922
0.160  0.000 1563.307
0.170  0.000 1660.547
0.180  0.000 1757.609
0.190  0.000 1854.455
0.200  0.000 1951.044
0.210  0.000 2047.329
0.220  0.000 2143.256
0.230  0.000 2238.770
0.240  0.000 2333.807
0.250  0.000 2428.300
0.260  0.000 2522.175
0.270  0.000 2615.352
0.280  0.000 2707.746
0.290  0.000 2799.266
0.300  0.000 2889.815
0.310  0.000 2979.289
0.320  0.000 3067.578
0.330  0.000 3154.569
0.340  0.000 3240.141
0.350  0.000 3324.166
0.360  0.000 3406.514
0.370  0.000 3487.048
0.380  0.000 3565.627
0.390  0.000 3642.104
0.400  0.000 3716.331
0.410  0.000 3788.154
0.420  0.000 3857.418
0.430  0.000 3923.966
