P: 4
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  112.686
0.020  0.000  225.374
0.030  0.000  338.066
0.040  0.000  450.764
0.050  0.000  563.469
0.060  0.000  676.181
0.070  0.000  788.897
0.080  0.000  901.615
0.090  0.000 1014.329
0.100  0.000 1127.032
0.110  0.000 1239.715
0.120  0.000 1352.364
0.130  0.000 1464.964
0.140  0.000 1577.496
0.150  0.000 1689.938
0.160  0.000 1802.265
0.170  0.000 1914.446
0.180  0.000 2026.446
0.190  0.000 2138.228
0.200  0.000 2249.747
0.210  0.000 2360.955
0.220  0.000 2471.799
0.230  0.000 2582.219
0.240  0.000 2692.150
0.250  0.000 2801.523
0.260  0.000 2910.260
0.270  0.000 3018.281
0.280  0.000 3125.495
0.290  0.000 3231.809
0.300  0.000 3337.122
0.310  0.000 3441.327
0.320  0.000 3544.310
0.330  0.000 3645.952
0.340  0.000 3746.127
0.350  0.000 3844.705
0.360  0.000 3941.548
0.370  0.000 4036.514
0.380  0.000 4129.455
0.390  0.000 4220.219
0.400  0.000 4308.651
0.410  0.000 4394.590
0.420  0.000 4477.874
0.430  0.000 4558.337
0.440  0.000 4635.812
0.450  0.000 4710.131
0.460  0.000 4781.128
0.470  0.000 4848.636
0.480  0.000 4912.490
0.490  0.000 4972.530
0.500  0.000 5028.601
0.510  0.000 5080.551
0.520  0.000 5128.238
0.530  0.000 5171.528
0.540  0.000 5210.297
0.550  0.000 5244.433
0.560  0.000 5273.837
0.570  0.000 5298.426
0.580  0.000 5318.131
0.590  0.000 5332.904
0.600  0.000 5342.713
0.610  0.000 5347.551
0.620  0.000 5347.429
0.630  0.000 5342.386
0.640  0.000 5332.480
0.650  0.000 5317.801
0.660  0.000 5298.458
0.670  0.000 5274.593
0.680  0.000 5246.370
0.690  0.000 5213.981
0.700  0.000 5177.644
0.710  0.000 5137.601
0.720  0.000 5094.120
0.730  0.000 5047.486
0.740  0.000 4998.008
0.750  0.000 4946.008
0.760  0.000 4891.823
0.770  0.000 4835.799
0.780  0.000 4778.287
0.790  0.000 4719.640
0.800  0.000 4660.206
0.810  0.000 4600.323
0.820  0.000 4540.317
0.830  0.000 4480.495
0.840  0.000 4421.138
0.850  0.000 4362.502
0.860  0.000 4304.809
0.870  0.000 4248.248
0.880  0.000 4192.974
0.890  0.000 4139.102
0.900  0.000 4086.716
0.910  0.000 4035.866
0.920  0.000 3986.571
0.930  0.000 3938.827
0.940  0.000 3892.610
0.950  0.000 3847.879
0.960  0.000 3804.586
0.970  0.000 3762.671
0.980  0.000 3722.073
0.990  0.000 3682.726
1.000  0.000 3644.561




P: 5
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  109.458
0.020  0.000  218.917
0.030  0.000  328.381
0.040  0.000  437.853
0.050  0.000  547.333
0.060  0.000  656.825
0.070  0.000  766.331
0.080  0.000  875.852
0.090  0.000  985.390
0.100  0.000 1094.945
0.110  0.000 1204.518
0.120  0.000 1314.109
0.130  0.000 1423.717
0.140  0.000 1533.339
0.150  0.000 1642.972
0.160  0.000 1752.611
0.170  0.000 1862.251
0.180  0.000 1971.883
0.190  0.000 2081.497
0.200  0.000 2191.081
0.210  0.000 2300.621
0.220  0.000 2410.098
0.230  0.000 2519.492
0.240  0.000 2628.780
0.250  0.000 2737.933
0.260  0.000 2846.921
0.270  0.000 2955.708
0.280  0.000 3064.254
0.290  0.000 3172.513
0.300  0.000 3280.436
0.310  0.000 3387.966
0.320  0.000 3495.042
0.330  0.000 3601.595
0.340  0.000 3707.552
0.350  0.000 3812.831
0.360  0.000 3917.344
0.370  0.000 4020.995
0.380  0.000 4123.680
0.390  0.000 4225.288
0.400  0.000 4325.700
0.410  0.000 4424.788
0.420  0.000 4522.417
0.430  0.000 4618.442
0.440  0.000 4712.711
0.450  0.000 4805.064
0.460  0.000 4895.332
0.470  0.000 4983.338
0.480  0.000 5068.900
0.490  0.000 5151.827
0.500  0.000 5231.923
0.510  0.000 5308.986
0.520  0.000 5382.809
0.530  0.000 5453.183
0.540  0.000 5519.896
0.550  0.000 5582.735
0.560  0.000 5641.487
0.570  0.000 5695.944
0.580  0.000 5745.899
0.590  0.000 5791.155
0.600  0.000 5831.521
0.610  0.000 5866.819
0.620  0.000 5896.884
0.630  0.000 5921.568
0.640  0.000 5940.743
0.650  0.000 5954.302
0.660  0.000 5962.166
0.670  0.000 5964.282
0.680  0.000 5960.630
0.690  0.000 5951.225
0.700  0.000 5936.118
0.710  0.000 5915.399
0.720  0.000 5889.200
0.730  0.000 5857.698
0.740  0.000 5821.110
0.750  0.000 5779.700
0.760  0.000 5733.774
0.770  0.000 5683.681
0.780  0.000 5629.809
0.790  0.000 5572.581
0.800  0.000 5512.451
0.810  0.000 5449.897
0.820  0.000 5385.414
